field,month,differential_usd,year,source_quarter,source_file
YME,7,-2.2,2024,3,np-3q-2024-endelige-normpriser.xlsx
YME,8,-2.8,2024,3,np-3q-2024-endelige-normpriser.xlsx
YME,9,-3.2,2024,3,np-3q-2024-endelige-normpriser.xlsx
YME,10,-0.9,2024,4,np-4q-2024-endelige-normpriser.xlsx
YME,11,-0.25,2024,4,np-4q-2024-endelige-normpriser.xlsx
YME,12,-1.55,2024,4,np-4q-2024-endelige-normpriser.xlsx
YME,1,-0.35,2025,1,np-1q-2025-endelige-normpriser.xlsx
YME,2,-1.35,2025,1,np-1q-2025-endelige-normpriser.xlsx
YME,3,-0.7,2025,1,np-1q-2025-endelige-normpriser.xlsx
YME,4,-0.2,2025,2,np-2q-2025-endelige-normpriser.xlsx
YME,5,-0.7,2025,2,np-2q-2025-endelige-normpriser.xlsx
YME,6,-1.1,2025,2,np-2q-2025-endelige-normpriser.xlsx
YME,7,-0.65,2025,3,np-3q-2025-endelige-normpriser.xlsx
YME,10,-0.2,2025,4,np-4q-2025-endelige-normpriser.xlsx
YME,11,-0.7,2025,4,np-4q-2025-endelige-normpriser.xlsx
YME,12,-1.05,2025,4,np-4q-2025-endelige-normpriser.xlsx
ÅSGARD,4,-0.75,2012,2,normpriser-2q-2012.xlsx
ÅSGARD,5,-2.200000047683716,2012,2,normpriser-2q-2012.xlsx
ÅSGARD,6,-1.75,2012,2,normpriser-2q-2012.xlsx
ÅSGARD,7,-3.8499999046325684,2012,3,np-3q-2012.xlsx
ÅSGARD,8,-3.4000000953674316,2012,3,np-3q-2012.xlsx
ÅSGARD,9,-2.4000000953674316,2012,3,np-3q-2012.xlsx
ÅSGARD,1,0.75,2013,1,np-2013-1q.xlsx
ÅSGARD,2,-0.15000000596046448,2013,1,np-2013-1q.xlsx
ÅSGARD,3,-0.20000000298023224,2013,1,np-2013-1q.xlsx
ÅSGARD,1,-1.6,2017,1,np-q1-2017-endelige-normpriser.xlsx
ÅSGARD,2,-1.4,2017,1,np-q1-2017-endelige-normpriser.xlsx
ÅSGARD,3,-1.8,2017,1,np-q1-2017-endelige-normpriser.xlsx
ÅSGARD,7,-3.2,2017,3,np-q3-2017-endelige-normpriser.xlsx
ÅSGARD,8,-2.5,2017,3,np-q3-2017-endelige-normpriser.xlsx
ÅSGARD,9,-2.55,2017,3,np-q3-2017-endelige-normpriser.xlsx
ÅSGARD,4,-4.2,2019,2,np-2q-2019-normpriser.xlsx
ÅSGARD,5,-4.75,2019,2,np-2q-2019-normpriser.xlsx
ÅSGARD,6,-4.35,2019,2,np-2q-2019-normpriser.xlsx
ÅSGARD,7,-6.3,2019,3,np-3q-2019-normpriser.xlsx
ÅSGARD,8,-6.8,2019,3,np-3q-2019-normpriser.xlsx
ÅSGARD,9,-5.05,2019,3,np-3q-2019-normpriser.xlsx
ÅSGARD,10,-4.9,2019,4,np-4q-2019-normpriser.xlsx
ÅSGARD,11,-5.1,2019,4,np-4q-2019-normpriser.xlsx
ÅSGARD,12,-2.1,2019,4,np-4q-2019-normpriser.xlsx
ÅSGARD,1,-2.1,2020,1,np-1q-2020-normpriser.xlsx
ÅSGARD,2,-2.95,2020,1,np-1q-2020-normpriser.xlsx
ÅSGARD,3,-5.7,2020,1,np-1q-2020-normpriser.xlsx
ÅSGARD,4,-1.4,2020,2,np-2q-2020-normpriser.xlsx
ÅSGARD,5,-13.7,2020,2,np-2q-2020-normpriser.xlsx
ÅSGARD,5,2.5,2020,2,np-2q-2020-normpriser.xlsx
ÅSGARD,6,-8.95,2020,2,np-2q-2020-normpriser.xlsx
ÅSGARD,8,-2.85,2020,3,np-3q-2020-normpriser.xlsx
ÅSGARD,9,-2.4,2020,3,np-3q-2020-normpriser.xlsx
ÅSGARD,10,-4.05,2020,4,np-4q-2020-normpriser.xlsx
ÅSGARD,11,-2.0,2020,4,np-4q-2020-normpriser.xlsx
ÅSGARD,12,-1.95,2020,4,np-4q-2020-normpriser.xlsx
ÅSGARD,1,-2.65,2021,1,np-1q-2021-endelige-normpriser.xlsx
ÅSGARD,2,-2.6,2021,1,np-1q-2021-endelige-normpriser.xlsx
ÅSGARD,3,-2.2,2021,1,np-1q-2021-endelige-normpriser.xlsx
ÅSGARD,4,-3.15,2021,2,np-2q-2021-endelige-normpriser.xlsx
ÅSGARD,5,-3.45,2021,2,np-2q-2021-endelige-normpriser.xlsx
ÅSGARD,6,-3.65,2021,2,np-2q-2021-endelige-normpriser.xlsx
ÅSGARD,7,-2.15,2021,3,np-3q-2021-endelige-normpriser.xlsx
ÅSGARD,8,-1.85,2021,3,np-3q-2021-endelige-normpriser.xlsx
ÅSGARD,9,-2.15,2021,3,np-3q-2021-endelige-normpriser.xlsx
ÅSGARD,10,-1.9,2021,4,np-4q-2021-endelige-normpriser.xlsx
ÅSGARD,11,-1.9,2021,4,np-4q-2021-endelige-normpriser.xlsx
ÅSGARD,12,-0.6046,2021,4,np-4q-2021-endelige-normpriser.xlsx
ÅSGARD,1,-0.45,2022,1,np-1q-2022-endelige-normpriser.xlsx
ÅSGARD,2,0.5,2022,1,np-1q-2022-endelige-normpriser.xlsx
ÅSGARD,3,0.55,2022,1,np-1q-2022-endelige-normpriser.xlsx
ÅSGARD,4,-1.2,2022,2,np-2q-2022-endelige-normpriser.xlsx
ÅSGARD,5,-1.35,2022,2,np-2q-2022-endelige-normpriser.xlsx
ÅSGARD,6,-3.15,2022,2,np-2q-2022-endelige-normpriser.xlsx
ÅSGARD,7,-12.8,2022,3,np-3q-2022-endelige-normpriser.xlsx
ÅSGARD,8,-8.55,2022,3,np-3q-2022-endelige-normpriser.xlsx
ÅSGARD,9,-6.7,2022,3,np-3q-2022-endelige-normpriser.xlsx
ÅSGARD,10,-5.75,2022,4,np-4q-2022-endelige-normpriser.xlsx
ÅSGARD,11,-5.25,2022,4,np-4q-2022-endelige-normpriser.xlsx
ÅSGARD,12,-4.3,2022,4,np-4q-2022-endelige-normpriser.xlsx
ÅSGARD,1,-4.85,2023,1,np-1q-2023-endelige-normpriser.xlsx
ÅSGARD,2,-5.9,2023,1,np-1q-2023-endelige-normpriser.xlsx
ÅSGARD,3,-6.0,2023,1,np-1q-2023-endelige-normpriser.xlsx
ÅSGARD,4,-5.1,2023,2,np-2q-2023-endelige-normpriser.xlsx
ÅSGARD,5,-4.35,2023,2,np-2q-2023-endelige-normpriser.xlsx
ÅSGARD,6,-7.65,2023,2,np-2q-2023-endelige-normpriser.xlsx
ÅSGARD,7,-4.8,2023,3,np-3q-2023-endelige-normpriser.xlsx
ÅSGARD,8,-4.5,2023,3,np-3q-2023-endelige-normpriser.xlsx
ÅSGARD,9,-4.35,2023,3,np-3q-2023-endelige-normpriser.xlsx
ÅSGARD,10,-4.15,2023,4,np-4q-2023-endelige-normpriser.xlsx
ÅSGARD,11,-6.45,2023,4,np-4q-2023-endelige-normpriser.xlsx
ÅSGARD,12,-4.4,2023,4,np-4q-2023-endelige-normpriser.xlsx
ÅSGARD,1,-5.5,2024,1,np-1q-2024-endelige-normpriser.xlsx
ÅSGARD,2,-3.8,2024,1,np-1q-2024-endelige-normpriser.xlsx
ÅSGARD,3,-5.55,2024,1,np-1q-2024-endelige-normpriser.xlsx
ÅSGARD,4,-6.2,2024,2,np-2q-2024-endelige-normpriser.xlsx
ÅSGARD,5,-6.9,2024,2,np-2q-2024-endelige-normpriser.xlsx
ÅSGARD,6,-5.45,2024,2,np-2q-2024-endelige-normpriser.xlsx
ÅSGARD,7,-5.45,2024,3,np-3q-2024-endelige-normpriser.xlsx
ÅSGARD,8,-4.75,2024,3,np-3q-2024-endelige-normpriser.xlsx
ÅSGARD,9,-5.2,2024,3,np-3q-2024-endelige-normpriser.xlsx
ÅSGARD,10,-4.85,2024,4,np-4q-2024-endelige-normpriser.xlsx
ÅSGARD,11,-4.4,2024,4,np-4q-2024-endelige-normpriser.xlsx
ÅSGARD,12,-2.9,2024,4,np-4q-2024-endelige-normpriser.xlsx
ÅSGARD,1,-2.85,2025,1,np-1q-2025-endelige-normpriser.xlsx
ÅSGARD,2,-4.05,2025,1,np-1q-2025-endelige-normpriser.xlsx
ÅSGARD,3,-4.05,2025,1,np-1q-2025-endelige-normpriser.xlsx
ÅSGARD,4,-3.9,2025,2,np-2q-2025-endelige-normpriser.xlsx
ÅSGARD,5,-4.3,2025,2,np-2q-2025-endelige-normpriser.xlsx
ÅSGARD,6,-4.35,2025,2,np-2q-2025-endelige-normpriser.xlsx
ÅSGARD,7,-4.25,2025,3,np-3q-2025-endelige-normpriser.xlsx
ÅSGARD,8,-4.45,2025,3,np-3q-2025-endelige-normpriser.xlsx
ÅSGARD,9,-3.15,2025,3,np-3q-2025-endelige-normpriser.xlsx
ÅSGARD,10,-3.2,2025,4,np-4q-2025-endelige-normpriser.xlsx
ÅSGARD,11,-2.8,2025,4,np-4q-2025-endelige-normpriser.xlsx
ÅSGARD,12,-3.75,2025,4,np-4q-2025-endelige-normpriser.xlsx
