field,grade,api_gravity,sulfur_pct,viscosity_cp,mobility_ratio,density_sg,D_annual,oil_mean,main_area,wc_k,wc_t50,wc_r2,wc_final
ALVHEIM,Alvheim,34.5440158378669,0.40211278459505,1.9568328188695139,5.590950911055755,0.8521836772375294,0.0563707420596046,0.25479755,North sea,0.014191240614022558,93.44135370465575,0.7318761421284914,0.7735899269805891
BALDER,Balder,30.0,0.55,2.8178357737944073,8.050959353698307,0.8761609907120743,0.0674451260768583,0.2532747151898734,North sea,0.009380262491036996,213.57762143863334,0.8053274575118701,0.6235593937330403
BØYLA,Alvheim,34.5440158378669,0.40211278459505,1.9568328188695139,5.590950911055755,0.8521836772375294,0.0504747406306086,0.0271469421487603,North sea,0.008613990169165172,89.0544520319433,0.12152569648778477,0.4775478328777821
DRAUGEN,Draugen,41.4190002302327,0.148773065682343,1.1968804205654147,3.4196583444726136,0.8183022097722058,0.117334248026352,0.3852344117647059,Norwegian sea,0.02657469007818541,159.36686992155063,0.9634791056185207,0.9410550006380584
EDVARD GRIEG,Grane,27.1149865857435,0.66784513617451,3.6291750160772533,10.36907147450644,0.8920972919763067,0.3839074326617335,0.3580850909090909,North sea,0.05370782726592637,98.42682658268528,0.953753284546436,0.5313870942011646
EKOFISK,Ekofisk,38.8888505112461,0.207184367217011,1.4241579568643985,4.069022733898282,0.8304533986550995,0.0147779693742812,0.7869419595645412,North sea,0.012419637888933707,479.625698217199,0.9637068168788899,0.8089365969617056
ELDFISK,Ekofisk,38.8888505112461,0.207184367217011,1.4241579568643985,4.069022733898282,0.8304533986550995,0.0102500978339937,0.2298398348623853,North sea,0.008980321549643648,484.4426558196065,0.9385988595517845,0.5707564624411904
EMBLA,Ekofisk,38.8888505112461,0.207184367217011,1.4241579568643985,4.069022733898282,0.8304533986550995,0.0831182661582441,0.0280274005305039,North sea,0.00572974632533585,785.9999999999002,0.30561736011253204,0.0167597765363128
FRAM,Troll,38.765436257241,0.130936656687094,1.4365652376001354,4.1044721074289585,0.8310553398883523,0.0827846180450101,0.1592327450980392,North sea,0.008424488382400883,269.48936982067767,0.6549876943842912,0.4830418397912842
FRAM H-NORD,Troll,38.765436257241,0.130936656687094,1.4365652376001354,4.1044721074289585,0.8310553398883523,0.1231079008893398,0.0086511428571428,North sea,0.005185821683654939,1.2793001966630219e-12,-0.6425573491758223,0.551433389544688
GINA KROG,Gina Krog,37.0,0.25,1.6298422392485437,4.656692112138696,0.8397626112759644,0.2375870919283949,0.0785558241758241,North sea,,,,
GOLIAT,Goliat,41.2541667789031,0.167457488915332,1.2102477773294296,3.4578507923697988,0.8190829931245405,0.1308047861872614,0.173765,Barents sea,0.02092901772905119,87.93632035232311,0.6862304623707722,0.4645078774489855
GRANE,Grane,27.1149865857435,0.66784513617451,3.6291750160772533,10.36907147450644,0.8920972919763067,0.100358621620288,0.5165407116104869,North sea,0.007255142260708836,270.7316938923043,0.7274036058163735,0.5774667140552806
GUDRUN,Gudrun,52.8907602496174,0.107484276736867,0.586031426193149,1.674375503408997,0.7673920309696949,0.1864250161132203,0.1554933076923077,North sea,0.03534824792464452,130.37497712324662,0.8972619135302589,0.4704637096774193
