field,exp_qi,exp_Di,exp_b,exp_r2_fit,exp_mae_forecast,exp_mape_forecast,exp_bias_forecast,exp_rmse_forecast,hyp_qi,hyp_Di,hyp_b,hyp_r2_fit,hyp_mae_forecast,hyp_mape_forecast,hyp_bias_forecast,hyp_rmse_forecast,harm_qi,harm_Di,harm_b,harm_r2_fit,harm_mae_forecast,harm_mape_forecast,harm_bias_forecast,harm_rmse_forecast,best_model,best_r2_fit,best_mape,best_rmse,best_bias,best_Di,best_b,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,oil_mean,main_area,D_annual,field_age_mean,grade
ALVHEIM,76.86135222234704,0.00735826675300202,0.0,0.27560388476760767,11.137061900641973,26.86439211607189,-9.092472471119535,13.831090867308959,79.26867667385747,0.011328047746042824,1.9999999999993465,0.3061960362857803,6.870889619859345,19.252272442104466,-0.5121060145940016,10.165236347239981,77.98531261530239,0.009022949035460978,1.0,0.290796965547821,7.567395004977767,19.13825967009356,-3.8399963693880457,10.72861036574862,hyp,0.3061960362857803,19.252272442104466,10.165236347239981,-0.5121060145940016,0.011328047746042824,1.9999999999993465,34.5440158378669,0.40211278459505,-39.0,8.72113464992648,0.25479755,North sea,0.0563707420596046,19.33,Alvheim
BALDER,94.60434759875241,0.017356616879863226,0.0,0.9504763305322116,17.02418682602269,67.8913491346418,-17.020209105253443,20.49599833486668,94.68721478315219,0.017454642590691825,0.010000000000000033,0.9502966296941517,16.905167224851017,67.3192366244485,-16.899543764610094,20.39740265000564,101.85147153424336,0.03076624334174497,1.0,0.9067631145182643,8.217869182600085,30.60561993957198,-6.587330141140047,13.13602189623681,exp,0.9504763305322116,67.8913491346418,20.49599833486668,-17.020209105253443,0.017356616879863226,0.0,30.0,0.55,-6.0,18.0,0.2532747151898734,North sea,0.0674451260768583,45.5,Balder
DRAUGEN,108.86273078987483,0.012250162856838762,0.0,0.874174483394139,2.5870261135698596,34.821137321155845,-2.1619669227195724,2.931649048719424,108.98278909068416,0.012331880607093742,0.010000000000000456,0.8737720791463408,2.4855287800123746,33.620449043143374,-2.0291594683308296,2.834675273555086,118.04542988250935,0.023681049776498788,1.0,0.8015913562899968,9.301210104543516,128.05850856176005,9.301210104543516,9.4725451998436,exp,0.874174483394139,34.821137321155845,2.931649048719424,-2.1619669227195724,0.012250162856838762,0.0,41.4190002302327,0.148773065682343,-24.0,5.51249407724695,0.3852344117647059,Norwegian sea,0.117334248026352,25.983957219251337,Draugen
EKOFISK,54.80521243269032,1.0000000000003034e-06,0.0,-0.00019240822589594586,29.713595424526737,167.82284558857157,29.713595424526737,30.620859219681865,54.805209312299276,1.0000000000000059e-06,1.9999999999999998,-0.00019232181935802117,29.71360685319962,167.82290479992295,29.71360685319962,30.620870807892903,54.805210872090925,1.0000000000000002e-06,1.0,-0.00019236501350849977,29.71360114098701,167.82287520550702,29.71360114098701,30.620865015977827,hyp,-0.00019232181935802117,167.82290479992295,30.620870807892903,29.71360685319962,1.0000000000000059e-06,1.9999999999999998,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.7869419595645412,North sea,0.0147779693742812,29.87402799377916,Ekofisk
ELDFISK,64.97549661884445,0.0014963098576087504,0.0,0.23272995001814734,9.25829599183148,30.909800097580252,-7.139430568327679,10.428353675880164,75.03951266876578,0.004148955939145959,1.9999999999999014,0.30847325114986357,7.8251552753904,28.237301100103757,-5.476714109507954,9.150869945593014,69.52223437800795,0.002390295233998639,1.0,0.2712122850686529,8.714427060518021,29.869396293487586,-6.592659884332655,9.938497202201217,hyp,0.30847325114986357,28.237301100103757,9.150869945593014,-5.476714109507954,0.004148955939145959,1.9999999999999014,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.2298398348623853,North sea,0.0102500978339937,32.89724770642202,Ekofisk
EMBLA,81.23996579701041,0.011273782917997898,0.0,0.8372082472691821,5.021359346924026,58.33169774661786,-4.925754213482848,6.171202864648512,95.08779688859555,0.022071560085497616,0.6906441334256184,0.855835203178771,2.8492848325622293,45.721969089576646,0.05896988633105263,3.715000773774554,101.61024616613143,0.030587914236315676,1.0,0.8520713218942404,3.6476201553790215,67.33480761175893,2.102674653246548,4.2697943047222635,hyp,0.855835203178771,45.721969089576646,3.715000773774554,0.05896988633105263,0.022071560085497616,0.6906441334256184,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.0280274005305039,North sea,0.0831182661582441,21.787798408488065,Ekofisk
FRAM,91.25721069035482,0.008763504486505891,0.0,0.35699327730578156,8.13732279789287,30.26685903739102,-4.588412928924427,9.546590600968845,91.26441595332233,0.008778682272345755,0.010000000000053466,0.3568966221531109,8.046851148094916,30.036204931848648,-4.468580826157412,9.472265185174136,91.9791317434467,0.010462979643355592,1.0,0.3472387532339454,6.819128264412093,35.35510835169626,4.198710934731219,8.965588915711836,exp,0.35699327730578156,30.26685903739102,9.546590600968845,-4.588412928924427,0.008763504486505891,0.0,38.765436257241,0.130936656687094,-12.0,7.17051168368127,0.1592327450980392,North sea,0.0827846180450101,24.968627450980392,Troll
GRANE,92.92915384790552,0.007288828319773792,0.0,0.5683260526778763,7.893183677526527,34.98404046936092,3.7836693887072124,9.398930370501844,92.94337558610596,0.007306006783528989,0.01000000000002507,0.5681749694878646,7.943008110834716,35.385752828097125,3.8937781967373897,9.432053248125644,94.36138538638784,0.009298296582226964,1.0,0.552524882795563,12.812536311557002,68.30723605814994,11.959178394811339,14.55182026547571,exp,0.5683260526778763,34.98404046936092,9.398930370501844,3.7836693887072124,0.007288828319773792,0.0,27.1149865857435,0.66784513617451,0.0,19.0037543623531,0.5165407116104869,North sea,0.100358621620288,23.471910112359552,Grane
GULLFAKS,95.37611920257116,0.01156695273349217,0.0,0.9328028521863571,2.5206484559878684,43.28628801955177,-2.4509805381239764,2.9574236107842107,95.96258063367989,0.01189446577881322,0.033521185294010596,0.9328818084725816,2.2597501681848247,38.529980709019874,-2.1325719311119977,2.7002432331288415,110.19941497618059,0.026929914614356166,1.0,0.8822352706546315,6.5148239359553655,124.36830669709258,6.5148239359553655,6.693390081256948,hyp,0.9328818084725816,38.529980709019874,2.7002432331288415,-2.1325719311119977,0.01189446577881322,0.033521185294010596,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,0.8213749781659389,North sea,0.1032948927693395,28.58515283842795,Gullfaks
GYDA,83.35122620956857,0.016339830420813287,0.0,0.9400362494755521,0.5194678415483465,29.779156442361526,-0.5101850665240117,0.5635261710519429,89.64479912804019,0.021961388689898016,0.2996062760335611,0.9488481319172134,1.4968862327985761,92.94687532171857,1.4968862327985761,1.5174030879657552,103.27055536696352,0.0458037076242378,1.0,0.9127346708296448,6.260530907776543,388.7666302967466,6.260530907776543,6.266535517165838,hyp,0.9488481319172134,92.94687532171857,1.5174030879657552,1.4968862327985761,0.021961388689898016,0.2996062760335611,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.096768245614035,North sea,0.1709002781717435,25.27485380116959,Ekofisk
