field,grade,is_direct_assay,n_months,decline_mean,decline_median,decline_std,decline_p25,decline_p75,oil_mean,gor_mean,water_cut_mean,field_age_mean,first_year,last_year,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,naphtha_pct,middle_distillate_pct,bottom_of_barrel_pct,ccr_pct,vanadium_ppm,nickel_ppm,nitrogen_ppm,viscosity_cst_40c,tan_mgkoh,wax_pct,main_area,discovery_year,D_monthly,D_annual,D_r2,n_post_peak,half_life_months
JOTUN,Jotun,True,193,-0.003970592454334816,-0.026267785479751983,0.24443973267931066,-0.09249702262802709,0.03614069054533719,0.08513870466321244,0.03388429790177825,0.8818409794691473,14.373056994818652,2000,2016,32.0,0.3,9.0,16.0,18.0,34.0,40.0,,,,,,,,North sea,1994,0.02207537944181927,0.26490455330183127,0.7355104369411889,179.0,31.39910606686368
KNARR,Knarr,True,71,0.014783872607880676,-0.02453632148377126,0.3158948751839703,-0.15301455195259772,0.11019306447217267,0.10469957746478874,0.0376598596861889,0.6182091329234085,10.873239436619718,2016,2022,26.0,0.65,-6.0,22.0,14.0,30.0,48.0,,,,,,,,North sea,2008,0.026264143717373196,0.31516972460847836,0.7105898936255912,68.0,26.39138698062494
KVITEBJØRN,Gullfaks,False,233,0.06369840503205294,-0.017580639229100026,0.4923334187816178,-0.10723951285520972,0.09662011318207771,0.12571000000000002,4.276646004273106,0.1517914315473111,21.88412017167382,2005,2026,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,24.829243951917828,40.578826121203626,30.92540055276025,1.29277263814823,1.36373739122237,1.00202473443379,682.966522336703,2.98525862641834,0.0859949740533258,5.66064980065889,North sea,1994,0.010005010510177645,0.12006012612213174,0.5343233998654249,224.0,69.28000523885886
MARIA,Heidrun,False,79,0.1099231444279078,-0.009533328207887992,0.6354034163758796,-0.10946554016501782,0.15218200864187068,0.07520012658227848,0.0768701555409165,0.11565800488386126,12.291139240506329,2019,2026,24.4409440894606,0.532004638793878,-64.993677147368,15.7949149993578,7.07375475087069,44.70309629756213,47.54460121823877,2.28098943136035,11.327379295567,2.45025444436768,1067.60242618784,17.5153511397964,3.20000004768371,6.10117361985008,Norwegian sea,2010,0.0069648154260109054,0.08357778511213086,0.1570370111671785,61.0,99.52125622328874
MARTIN LINGE,Martin Linge,True,44,0.03937501307727392,-0.03397210484490063,0.4876093741375819,-0.09308621448756739,0.03479085764487628,0.09235772727272727,1.68677788266645,0.6465434436848866,45.81818181818182,2022,2026,27.8422641859289,0.21138196382242,-24.5537695400305,13.4803606425822,11.04843497215546,46.85265068316069,41.92802231920797,1.5816027401334,0.636634664657283,2.61782713325675,527.194150976596,13.5034953578956,2.62827676349153,9.3740813525251,North sea,1978,0.018255174155008554,0.21906208986010264,0.5533101488974643,42.0,37.96990237804831
MARULK,Norne,False,132,0.0493308614273008,-0.02479171274791714,0.38882258466021596,-0.1322344322344322,0.10105633802816893,0.0046205303030303025,15.64759572117191,0.18551101993041064,27.12121212121212,2013,2026,33.9955719154872,0.173762395630177,15.0,8.05150046202256,10.47441884008746,45.44239814855472,43.15645552032174,1.0125261514852,0.514814556054689,1.4130265807347,300.386894111234,6.64944425362657,0.0900000035762787,8.20119803208561,Norwegian sea,1992,0.021144227884336925,0.2537307346120431,0.6378587777710181,62.0,32.78186294394841
NJORD,Njord,True,234,0.06620805183900709,-0.03722268239300072,0.4613529315453574,-0.11767459662149882,0.14449024574507888,0.11073247863247863,1.406711540714781,0.09636844232176402,23.444444444444443,1998,2026,44.766792129643,0.0643388067225921,-72.0951966050406,3.2485766922058,33.86435529240978,39.30790353521274,23.11881832584605,0.351998049953245,0.316729805959251,0.221407579785093,219.95499355797,1.73148631864286,0.0399999991059303,6.4994144283384,Norwegian sea,1986,0.009037896396161807,0.10845475675394167,0.7601043779733991,209.0,76.6934195942221
NORNE,Norne,True,322,0.040329610025084485,-0.01682508267445187,0.40019347454537285,-0.10329410107237663,0.09788374528588509,0.2712522049689441,0.5821800568154745,0.6619666985442988,19.87888198757764,1998,2026,33.9955719154872,0.173762395630177,15.0,8.05150046202256,10.47441884008746,45.44239814855472,43.15645552032174,1.0125261514852,0.514814556054689,1.4130265807347,300.386894111234,6.64944425362657,0.0900000035762787,8.20119803208561,Norwegian sea,1992,0.013766835364272964,0.16520202437127557,0.8864122258833959,283.0,50.34905715214463
OSEBERG,Oseberg,True,456,0.034301264982855545,-0.0053128274447513425,0.35188931894972353,-0.07478512801655017,0.07783964601431362,0.8722325219298245,0.8416664280411945,0.2672305062943683,27.660087719298247,1987,2026,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,25.34171573550684,42.91410169649291,28.3764639162822,1.26116051024895,0.884546002984465,1.07199277773617,720.311705756422,2.69254771710991,0.0900000035762787,5.49988944812762,North sea,1979,0.00740662360498857,0.08887948325986283,0.8064168992769726,364.0,93.58477189162024
OSEBERG SØR,Oseberg,False,300,0.04439653810732111,-0.003142916304473552,0.3835643554366463,-0.09202767793402342,0.08548068577431148,0.20739660000000001,0.3592194132440111,0.45666860143608695,29.166666666666668,2001,2026,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,25.34171573550684,42.91410169649291,28.3764639162822,1.26116051024895,0.884546002984465,1.07199277773617,720.311705756422,2.69254771710991,0.0900000035762787,5.49988944812762,North sea,1984,0.0057548042843725425,0.06905765141247051,0.8320746182452243,273.0,120.44669919396233
