year,hub_p10_msm3_mnd,hub_p50_msm3_mnd,hub_p90_msm3_mnd,agg_p10_msm3_mnd,agg_p50_msm3_mnd,agg_p90_msm3_mnd
2027.0,0.016061166690779945,0.0389715615278001,0.09961361702530756,0.01649742964880648,0.0318115677692571,0.0637479901683184
2027.0833333333333,0.02087494145637006,0.06499146815664657,0.7711991336998751,0.02237894905183666,0.06383759038657644,0.8106224138834591
2027.1666666666667,0.022624179793970304,0.0803529289191976,0.945397376048906,0.024183298421513004,0.08974049315585275,0.8802178345347293
2027.25,0.024036569159140774,0.09593101518165753,1.011128419507305,0.02577597653206943,0.12402153073989176,0.9254034846125975
2027.3333333333333,0.024964322439636998,0.1119168547189873,1.0911910089485417,0.026765030207316756,0.16611615034189908,0.9422673293279584
2027.4166666666667,0.025623174587747738,0.12862426279159608,1.1565367116033565,0.027613808966190697,0.21002311699363702,0.9569889069597921
2027.5,0.026163382633755502,0.14093665640773081,1.181248417010904,0.028542542921734367,0.243550430369257,0.9654069197221158
2027.5833333333333,0.027060211567040436,0.16117554210291113,1.2208558578357103,0.029905033252293274,0.2741135142410967,0.9797009285547997
2027.6666666666667,0.027780707704532868,0.17882209775171962,1.2301893713011076,0.03083882608441727,0.2888620401511893,0.9773199145421294
2027.75,0.02818397958133945,0.19292358679643762,1.2482898886520208,0.03173465838625047,0.29933124286540347,0.9869693502165459
2027.8333333333333,0.0287352838957294,0.20869932787397222,1.2879968415616403,0.03228408473076631,0.3087497863325394,0.9861813241543325
2027.9166666666667,0.029204955152643278,0.22215644449699984,1.296714639980959,0.03281928838265512,0.3161476294126452,0.9788218121379598
2028.0,0.02984411111310379,0.23698887530842389,1.3018223214626776,0.03973340750053482,0.3363156238712296,0.9962902233428643
2028.0833333333333,0.03054487276931962,0.24695319625663292,1.297624034776435,0.041863320199244165,0.34392505842747373,1.2412562787562698
2028.1666666666667,0.030885340363228247,0.2571829843850667,1.29978704013663,0.04313672730883507,0.3505422860690508,1.2678648937169232
2028.25,0.031349416549553456,0.25935086175431765,1.2947737762120202,0.044464306992829536,0.3642097304879948,1.2877892017225123
2028.3333333333333,0.031657686362734035,0.2626222380358896,1.2778166508408713,0.045981553335267364,0.38072501374784357,1.2852986480124875
2028.4166666666667,0.032261696298213946,0.2663594401642947,1.2792450517072467,0.04729758830402515,0.3905634693608002,1.2949068425001204
2028.5,0.0329070803896418,0.2678222576110779,1.291069258928037,0.04790076180223869,0.40483197595132314,1.2883266016269124
2028.5833333333333,0.03343827019662113,0.2708102875977222,1.2753825568624486,0.04880936495508829,0.41494348611431187,1.2804013296009924
2028.6666666666667,0.03374370024177973,0.2754116850893673,1.2648475957909129,0.049553973491678914,0.42141846443511305,1.2751663830717779
2028.75,0.034018074563365676,0.27652093834222224,1.289893251623529,0.05042462771963184,0.42986132268313737,1.283945875778155
2028.8333333333333,0.03414340590340858,0.27797613388753006,1.2879971151001313,0.050722192817176145,0.4306081309275287,1.2929243903242544
2028.9166666666667,0.034487819719682074,0.27256316539573067,1.2894010459193583,0.0512121320522345,0.429905170517204,1.290588997040898
2029.0,0.03484706906310668,0.2736946242665146,1.2873718203827231,0.06174538866277348,0.44851414902074993,1.3153151063650241
2029.0833333333333,0.034913718157992754,0.2775030189850689,1.2927436236723469,0.06575734086212781,0.47022501579723613,1.7105059840745367
2029.1666666666667,0.03550642022898837,0.27850594473246854,1.2833495288165653,0.06788942243496202,0.48444344859480315,1.7380625392952187
2029.25,0.03575285888317667,0.2803151206129478,1.289329655080749,0.06950707840864163,0.5066939318327592,1.7447459277608282
2029.3333333333333,0.035984229796126255,0.28126990208116237,1.2918079695701707,0.07119183869686073,0.5360312371436587,1.7503684790946537
2029.4166666666667,0.03628955191898402,0.2835610098258329,1.2962507772387524,0.07201303826990338,0.5671252535228203,1.7437368502573616
2029.5,0.03670767277027041,0.2810581250258344,1.3125615881497574,0.07300544239568274,0.5829766859189258,1.7407106666279861
2029.5833333333333,0.03690388044383385,0.28082576663107156,1.3148624790022534,0.07433108551499293,0.5906775175404282,1.7407131642738205
2029.6666666666667,0.037110841471222594,0.27964949373314085,1.3130958073017562,0.07407990608231471,0.5998237430400765,1.7296956958088863
2029.75,0.03685561403419884,0.2789332544893765,1.3050031759616783,0.0746565210262445,0.6003833894078557,1.7340561712497558
2029.8333333333333,0.03701403901329217,0.28314575196644326,1.31340487650981,0.07529029505838414,0.5996278937498266,1.729422295460658
2029.9166666666667,0.03708058347615175,0.28517300156239744,1.3133501781062884,0.07591843877098751,0.6074335494445935,1.7265091278856977
2030.0,0.03704753754168092,0.286412137048217,1.3012786081948071,0.07653507557351802,0.6090462691036972,1.7095298923472813
2030.0833333333333,0.03725062969257086,0.2852429567132334,1.2989156101278223,0.07697423084581355,0.6096476004630097,1.707946947509215
2030.1666666666667,0.037281102935461184,0.28416911163153374,1.2923009608744938,0.07772878039838796,0.60634482821187,1.707246230456562
2030.25,0.03742548246449836,0.28429100191415513,1.3036681302959565,0.0775175697776537,0.6012234798995002,1.7023996079317905
2030.3333333333333,0.036928242102586224,0.2826346975224808,1.2932995071020439,0.07727398536534036,0.5984576191080442,1.6956168278038957
2030.4166666666667,0.03643523567348219,0.2838133303536958,1.2939066062149118,0.07673946881972725,0.5954992967452241,1.6924689040708998
2030.5,0.03586180498764891,0.28209216401790094,1.3037200445915624,0.07649516088742053,0.5959905151375806,1.6895627913679476
2030.5833333333333,0.03597634164597405,0.27614450805081514,1.3013567956597436,0.07667894806359692,0.5962497911005328,1.677725488660225
2030.6666666666667,0.035014987186022466,0.27534930929614976,1.2932028952280716,0.07593713201047532,0.5889712542833725,1.6676238817991949
2030.75,0.034849173813549454,0.2736194134989396,1.3003534557602854,0.07619971732912204,0.5859816916737965,1.6714237882090077
2030.8333333333333,0.034006096134176204,0.27413758565908997,1.3036274516830633,0.0755974287719077,0.5796060737096663,1.659768621460261
2030.9166666666667,0.033588942464381336,0.2715860171291441,1.2943167532756366,0.07497864123737796,0.5789138681984093,1.6582905750612533
2031.0,0.03269113128698833,0.2685773549217202,1.2945094919960767,0.0732947312420246,0.5740209043022316,1.6572578375803613
2031.0833333333333,0.03255082461204084,0.2696357104669479,1.295206029795064,0.07228718646569027,0.5690633183767504,1.6515942501798109
2031.1666666666667,0.03201711670535613,0.270072252718343,1.291875992175037,0.07141089529480465,0.5642208292548276,1.6522027184884789
2031.25,0.031226804635135844,0.26933412085869635,1.2793507062679246,0.07003649572296419,0.5611079922607228,1.645657669242692
2031.3333333333333,0.030593224180611837,0.26897598099929315,1.2779869962129449,0.06909836386883116,0.5567907002040929,1.6515140341198467
2031.4166666666667,0.029954075775267392,0.2692010511121853,1.2778335815874111,0.06797909764885679,0.5508833473008719,1.6485982739696465
2031.5,0.02962088078427829,0.2684922573614259,1.2785160367841648,0.06677349174317075,0.5465947318996183,1.6403631501680118
2031.5833333333333,0.02905451161805527,0.266983567904708,1.2779869962129449,0.06555149892250307,0.5429867158921082,1.6342123939929796
2031.6666666666667,0.028388494557607998,0.2650325228601692,1.276402907755573,0.06360817327989024,0.5375315704940405,1.631900137773465
2031.75,0.027083658570467132,0.26582213596742865,1.2779869962129449,0.061886256957644346,0.5350167949151332,1.6296173049967657
2031.8333333333333,0.02614617740686477,0.26614066674003145,1.2685782903992795,0.060118759738191155,0.5301183945299008,1.6235816460027024
2031.9166666666667,0.02553274417877331,0.2649861536087089,1.2619781378962487,0.05880051720867119,0.5259350452223912,1.621370301776546
2032.0,0.025247949843111694,0.2635009610465324,1.2480700340207411,0.057891928799370974,0.5236064347633491,1.6193352396619192
2032.0833333333333,0.025302136966550676,0.264192975222465,1.2461516683992726,0.05688713065195636,0.5176194697083505,1.608632853577826
