year,hub_low_p50_kboed,hub_base_p10_kboed,hub_base_p50_kboed,hub_base_p90_kboed,hub_high_p50_kboed,agg_p10_kboed,agg_p50_kboed,agg_p90_kboed
2027.0,5.633776718235667,6.256366958825776,7.181605178406413,8.199266931300077,8.976364603922118,5.387488861617042,6.266978135298828,7.11920844387362
2027.0833333333333,7.644291140612555,7.81991645301853,9.056295446222444,10.460843232531694,10.783452049861445,8.34863886036189,10.087873833361627,11.986845828519273
2027.1666666666667,10.271922560562043,9.670713027361801,11.379162360243852,13.456022956577414,12.92330515427198,12.443215456097189,16.014259498005504,20.617458120906118
2027.25,13.718303745106438,11.883330302797326,14.20910827491339,17.274304698219474,15.420901523418252,18.065516828562075,24.64040390723197,34.17473130488841
2027.3333333333333,18.08491565778561,14.46503213077043,17.68085491705556,22.181252060667887,18.30005325003244,25.487736370758135,36.27011732020125,51.74293606670969
2027.4166666666667,23.44641173940237,17.499363860308833,21.87522164821146,27.958373132240762,21.74042392287824,34.71410860935959,50.37713800109131,70.32960669238983
2027.5,30.013118826447,21.104875947447805,26.798106217813647,35.1914558171349,25.665062372137417,45.56655845767382,65.37432084482195,87.80368630247722
2027.5833333333333,37.75227515263753,25.101545241960935,32.49926668481089,43.61518080227095,30.12779550615664,57.12796423069874,79.79015184156499,103.23958776700572
2027.6666666666667,46.356069027247585,29.766678600677004,39.221624428739304,53.16239624675285,35.21127618887092,68.20977061018453,92.17152288406878,115.60443877504125
2027.75,55.567165681269586,34.94305650191029,46.69391250504389,63.70838680452477,41.00027534251398,78.30446215883536,102.84473359419259,125.37056659385094
2027.8333333333333,64.8559063641792,40.695967612308074,54.81295607911029,75.02274119570033,47.34892572406066,86.98078596853713,111.0279805965422,131.75471183024496
2027.9166666666667,73.78178758378021,47.00036723915183,63.55579400557942,86.36048927771148,54.40526890129111,94.24925655212772,117.22820991058545,136.73946093272062
2028.0,82.16078146327597,53.764084929296445,72.65848716332567,97.55129421720851,61.982939449686334,101.74202756893311,124.3386736208107,144.12412801432538
